umpire_name,nationality,First officiated,Last officiated,no_of_match
Sundaram Ravi,IND,2009,2020,121
Kumar Dharmasena,SL,2009,2018,94
Anil Chaudhary,IND,2012,2020,87
Chettithody Shamshuddin,IND,2012,2020,83
Marais Erasmus,SA,2009,2019,66
Nitin Menon,IND,2016,2020,57
C. K. Nandan,IND,2013,2019,57
Simon Taufel,AUS,2009,2013,55
Vineet Kulkarni,IND,2012,2020,51
Asad Rauf,PAK,2008,2013,51
Bruce Oxenford,AUS,2012,2019,48
Chris Gaffaney,NZ,2015,2020,47
Rod Tucker,AUS,2011,2019,46
Billy Doctrove,WI,2008,2012,44
Rudi Koertzen,SA,2008,2011,42
Billy Bowden,NZ,2009,2014,38
Aleem Dar,PAK,2008,2014,38
Nigel Llong,ENG,2013,2019,37
K. N. Ananthapadmanabhan,IND,2016,2020,33
Richard Illingworth,ENG,2014,2020,32
Sudhir Asnani,IND,2009,2013,31
Shavir Tarapore,IND,2009,2012,31
Russell Tiffin,ZIM,2008,2011,30
Anil Dandekar,IND,2016,2020,28
Daryl Harper,AUS,2008,2010,28
Amiesh Saheba,IND,2008,2011,27
Virender Sharma,IND,2016,2020,26
Nand Kishore,IND,2016,2019,25
Paul Reiffel,AUS,2011,2020,24
Krishna Hariharan,IND,2008,2011,21
Yeshwant Barde,IND,2017,2020,19
Brian Jerling,SA,2008,2010,18
Johan Cloete,SA,2012,2015,17
Sanjay Hazare,IND,2009,2014,17
Subrat Das,IND,2010,2013,15
Krishnaraj Srinath,IND,2013,2015,15
Ian Howell,SA,2008,2009,14
Suresh Shastri,IND,2008,2011,14
Mark Benson,ENG,2008,2009,13
Abhijit Deshmukh,IND,2017,2018,12
Pashchim Pathak,IND,2014,2020,11
Rajesh Deshpande,IND,2014,2015,8
Ulhas Gandhe,IND,2019,2020,8
Gary Baxter,NZ,2009,2009,7
Steve Davis,AUS,2008,2008,7
Arani Jayaprakash,IND,2008,2008,7
Simon Fry,AUS,2015,2015,6
Ian Gould,ENG,2019,2019,6
Tony Hill,NZ,2011,2011,6
G. A. Pratapkumar,IND,2008,2008,6
Ivaturi Shivram,IND,2008,2008,6
Krishnamachari Srinivasan,IND,2015,2020,6
Tyron Wijewardene,SL,2009,2009,6
Krishnamachari Bharatan,IND,2016,2016,3
Shashank Ranade,IND,2009,2009,2
Subroto Das,IND,2013,2013,1
